"Serial #","Building Name","Location","Floor","Installed","Sharp ID #","IP Address","B/W Meter","Colour Meter","Model",,
9502816200,"1685 Main st 3d floor",306,"3RD","Y",55744,"http://130.113.206.30",241279,79861,"MX-3101N",,
8505879400,"ABB",156,"2ND","Y",44499,"http://130.113.57.245",481693,102198,"MX-4501N",,
8504187300,"ABB",213,"2nd","Y",44964,"http://130.113.57.158",165316,17975,"MX-3501N",,
8500259800,"ABB",245,"4TH","Y",50069,"http://130.113.172.49",1210299,76099,"MX-5500N",,
8506323800,"ABB",448,"4th","Y",50307,"http://130.113.57.192",109580,18656,"MX-4501N",,
8000772000,"ABB","B166A","bsmt","Y",55543,"http://130.113.54.103",61647,1153,"MX-C311",,
8504439500,"ALUMNI HOUSE",203,"2ND","Y",46878,"http://130.113.79.34",256816,42570,"MX-3501N",,
8500871600,"Brandom Hall","Pro shop","1st","Y",45069,"http://130.113.124.125",198928,32835,"MX-3501N",,
9502818200,"Brock","CFHRC","1st","Y",55745,"http://130.113.157.40",127052,56177,"MX-3100N",,
9503442500,"Brock","CFHRC","1st","Y",75114457,"http://130.113.157.41",198648,47475,"MX-2600N",,
8505138600,"BSB","ROOM 242","2nd","Y",43851,"http://130.113.7.6",45871,10363,"MX-3501N",,
8506330800,"BSB",101,"1st","Y",50302,"http://130.113.210.220",137511,36036,"MX-4501N",,
8500977600,"BSB",319,"3rd","Y",62172,"http://130.113.210.120",145002,5128,"MX-3501N",,
9211185300,"BSB","B237","1st","Y",75123412,"http://130.113.234.67",1150,794,"MX-C310",,
8506947200,"BURKE SCIENCE",245,"2ND","Y",44846,"http://130.113.220.168",166131,120973,"MX-2700N",,
8506932200,"Burke Science",129,"1ST","y",44860,"http://130.113.210.86",106378,32253,"MX-2700N",,
8505463600,"BURKE SCIENCE ","ROOM  B231","2nd","Y",43907,"http://130.113.234.160",221921,91775,"MX-3501N",,
8500912600,"BURKE SCIENCE ",246,"2ND","Y",44736,"http://130.113.220.143",102012,89384,"MX-3501N",,
8500914600,"BURKE SCIENCE ","ROOM 235","2nd","Y",45073,"http://130.113.220.174",123727,106057,"MX-3501N",,
8504766900,"BURKE SCIENCE ",202,"2nd","Y",54058,"http://130.113.220.28",71294,79174,"MX-3501N",,
8507280200,"Burlington ","main lobby","2nd","Y",42006,"http://130.113.98.45",90775,16066,"MX-3501N",,
8506994200,"Burlington ","Deans Area","2nd","Y",45901,"http://130.113.98.20",384700,12397,"MX-2700N",,
6505437600,"Burlington ","main reception","1st","Y",73563,"http://130.113.55.19",126429,14789,"MX-3501N",,
6505607400,"Burlington ",329,"3rd","Y",73567,"http://130.113.106.19",142676,3,"MX-3501N",,
6506291300,"Burlington ",345,"3rd","Y",73571,"http://130.113.106.20",115085,101512,"MX-3501N",,
8505885400,"CAMPUS SERVICES",202,"2ND","Y",41277,"http://130.113.195.87",479906,151174,"MX-4501N",,
83127227,"Campus services",204,"2nd","Y",41959,"http://130.113.195.221",53012,,"AR-M207",,
8505106600,"Campus Services",121,"1st","Y",43884,"http://130.113.195.112",478969,290712,"MX-3501N",,
8505967600,"CAMPUS SERVICES",202,"2ND","Y",45010,"http://130.113.195.157",486006,190212,"MX-4501N",,
8505454600,"CAMPUS SERVICES",102,"1ST","Y",45078,"http://130.113.195.168",503634,73713,"MX-3501N",,
8506926200,"CAMPUS SERVICES",204,"2nd","Y",45543,"http://130.113.195.49",107190,32810,"MX-2700N",,
8505455600,"CHEDOKE","OPEN AREA","2ND","Y",45505,"http://130.113.52.6",155477,255,"MX-3501N",,
8507422800,"Chedoke","main lobby","4th","Y",55419,"http://130.113.52.7",304292,13285,"MX-3501N",,
8507983100,"CHESTER NEW HALL",111,"1st","Y",41951,"http://130.113.171.127",153612,53379,"MX-3501N",,
8506938200,"CHESTER NEW HALL","ROOM 501","5TH","Y",44631,"http://130.113.187.102",307139,30522,"MX-3501N",,
8500850600,"CHESTER NEW HALL",627,"6th","Y",45506,"http://130.113.123.6",363019,40919,"MX-3501N",,
8506312800,"Chester new hall",112,"1st","Y",50272,"http://130.113.171.123",128767,41331,"MX-4501N",,
7503035800,"CNH","Room 107","1ST","Y",44874,"http://130.113.171.130",102422,39380,"MX-2700N",,
8506333800,"CNH",321,"3rd","Y",50273,"http://130.113.91.55",676506,58452,"MX-4501N",,
"8211234Y00","CNH",319,"3rd","Y",75123408,"http://130.113.91.59",21531,70,"MX-C310",,
8505895400,"Commons",129,116,"Y",41282,"http://130.113.143.117",460981,114904,"MX-4501N",,
8508034100,"Commons","OPEN AREA","1ST","Y",43582,"http://130.113.143.77",171064,3503,"MX-3501N",,
8506940200,"COMMONS",116,"1ST","Y",44704,"http://130.113.143.109",421492,107928,"MX-2700N",,
83006197,"Commons","Basement","bsm","Y",45072,"http://130.113.143.172",65140,,"AR-M207",,
8504397500,"Commons",105,"1st","Y",50105,"http://130.113.143.39",286697,29578,"MX-3501N",,
8506941200,"COURT HOUSE","5th Floor",513,"Y",44841,"http://130.113.88.124",181644,26025,"MX-2700N",,
8500798600,"COURTHOUSE",131,"1ST","Y",44710,"http://130.113.88.121",83343,34779,"MX-3501N",,
8505369600,"COURTHOUSE",120,"1ST","Y",44883,"http://130.113.16.187",240824,64824,"MX-3501N",,
8505494600,"COURTHOUSE","MAIN LOBBY","5TH","Y",44888,"http://130.113.88.115",511439,102027,"MX-3501N",,
8505499600,"COURTHOUSE",303,"3rd","Y",44919,"http://130.113.16.102",331601,16164,"MX-3501N",,
8504181300,"COURTHOUSE",413,"4th","y",44934,"http://130.113.88.27",194730,11304,"MX-3501N",,
8504638900,"COURTHOUSE",303,"3rd","Y",44939,"http://130.113.16.198",516252,1808,"MX-3501N",,
8504242300,"COURTHOUSE",406,"4TH","Y",44949,"http://130.113.88.119",631056,148245,"MX-3501N",,
8500872600,"COURTHOUSE",417,"4TH","Y",44971,"http://130.113.88.116",277756,2339,"MX-3501N",,
8500878600,"COURTHOUSE",411,"4TH","Y",44977,"http://130.113.88.118",237654,57268,"MX-3501N",,
9211745000,"Courthouse","Lower level","bsmt","Y",82016,"http://130.113.138.117",86632,17248,"MX-C311",,
6504621500,"COURTHOUSE",221,"2ND","Y",83504,"http://130.113.41.74",329620,72037,"MX-3501N",,
8505121600,"CRL","main reception","2nd","Y",43880,"http://130.113.119.33",279911,43116,"MX-3501N",,
8507314200,"CRL",209,"2nd","Y",81506,"http://130.113.119.44",148551,9828,"MX-3501N",,
"8211204Y00","CRL",204,"2nd","Y",75128374,"http://130.113.119.132",22026,807,"MX-C310",,
8500901600,"David Braley","W137","2nd","Y",44717,"http://130.113.25.213",297780,11796,"MX-3501N",,
85054936,"David Braley","W126","1st","Y",44909,"http://130.113.25.48",253700,35694,"MX-3501N",,
8505462600,"DAVID BRALEY","W126","1ST","Y",45500,"http://130.113.25.131",952897,61855,"MX-3501N",,
8504124500,"David Braley","Room B237","BSMT","Y","service loaner",,11887,,"FO-2080",,
9211168300,"Degroot","B113","bsmt","Y",75128381,"http://130.113.188.159",1820,181,"MX-C310",,
8500248800,"DEGROOT SCHOOL","A210","2nd","Y",41952,"http://130.113.186.79",385562,64649,"MX-3501N",,
8500258800,"DEGROOT SCHOOL",401,"4TH","Y",50074,"http://130.113.188.240",989236,242,"MX-5500N",,
8500253800,"DEGROOT SCHOOL",201,"2ND","Y",50075,"http://130.113.188.16",1373214,3580,"MX-5500N",,
8500248800,"DEGROOT SCHOOL",301,"3RD","Y",50089,"http://130.113.188.239",1621012,3357,"MX-5500N",,
8504321300,"DEGROOT SCHOOL BUS",240,"2ND","Y",44787,"http://130.113.188.243",346687,19381,"MX-3501N",,
8500867600,"DEGROOT SCHOOL BUS",114,"1ST","Y",44803,"http://130.113.188.241",176230,314,"MX-3501N",,
8501009600,"DEGROOT SCHOOL BUS","B113","1st","Y",44999,"http://130.113.188.249",110701,34940,"MX-3501N",,
8506992200,"DEGROOT SCHOOL BUSINESS","ROOM 104","1ST","Y",45542,"http://130.113.188.242",161557,21,"MX-2700N",,
83006452,"DIVINITY",202,"2ND","Y",45071,"http://130.113.182.72",35818,,"AR-M207",,
8501637700,"DIVINITY ","COPY ROOM","2ND","Y",48790,"http://130.113.182.17",674732,28997,"MX-4501N",,
9211406700,"DSB ","B113","BSMT","Y",60450,"http://130.113.185.45",68380,42704,"MX-C311",,
8507001200,"ET CLARKE",202,"2nd","Y",45540,"http://130.113.46.145",132491,41957,"MX-2700N",,
8506995200,"ET CLARKE",102,"1st","Y",45545,"http://130.113.46.202",169577,23650,"MX-2700N",,
8503538500,"ETB",108,"1ST","Y",44659,"http://130.113.86.63",128752,10139,"MX-2300N",,
8503519500,"ETB","101A","2ND","Y",44733,"http://130.113.86.46",197632,17336,"MX-2300N",,
7506578700,"ETB",219,"2nd","Y",73490175,"http://130.113.102.11",166390,7362,"MX-3101N",,
"8211211Y00","ETB",319,"1st","Y",75123419,"http://130.113.118.8",894,583,"MX-C311",,
"6506107Y8","ETB",409,"4th floor","Y",,"http://130.113.127.38",27542,4938,"MX-2700N",,
8505495600,"ETB ",303,"3rd","Y",45899,"http://130.113.127.64",169523,4382,"MX-3501N",,
8506922200,"GENERAL SCIENCE ","ROOM 116","1ST","Y",45553,"http://130.113.141.150",112459,36084,"MX-2700N",,
8505886400,"Gilmour hall",304,"3RD","Y",41280,"http://130.113.173.108",363251,117746,"MX-4501N",,
8500177500,"GILMOUR HALL","ROOM 210","2ND","Y",41982,"http://130.113.101.122",1215406,47696,"MX-5500N",,
8505108600,"Gilmour Hall",209,"2nd","Y",43875,"http://130.113.101.42",240368,10953,"MX-3501N",,
8505105600,"GILMOUR HALL","120M","1st","Y",43886,"http://130.113.12.30",406130,3696,"MX-3501N",,
8505963600,"GILMOUR HALL",212,"2nd","Y",43941,"http://130.113.101.116",458243,106323,"MX-4501N",,
850544600,"Gilmour Hall",212,"2ND","Y",44777,"http://130.113.101.203",390318,77425,"MX-3501N",,
8502309600,"Gilmour Hall","B111","BSMT","Y",44782,"http://130.113.156.124",209524,37048,"MX-3501N",,
85069892,"GILMOUR HALL","B107","bsmt","y",44851,"http://130.113.156.151",162422,12985,"MX-2700N",,
8505412600,"Gilmour Hall",304,"3RD","Y",45496,"http://130.113.173.62",522322,456830,"MX-3501N",,
8506998200,"Gilmour Hall","Room 305","3rd","Y",45546,"http://130.113.173.141",317972,61757,"MX-2700N",,
8312722700,"GILMOUR HALL","ROOM 302","3RD","Y",45902,"http://130.113.96.39",50470,,"AR-M207",,
8504648900,"GILMOUR HALL",110,"1st","Y",48739,"http://130.113.198.101",284747,255958,"MX-3501N",,
8504666900,"GILMOUR HALL",102,"1ST","Y",48744,"http://130.113.236.83",137903,1733,"MX-3501N",,
8504651900,"GILMOUR HALL",108,"1ST","Y",48759,"http://130.113.236.69",430873,25010,"MX-3501N",,
8504636900,"GILMOUR HALL",109,"1ST","Y",48764,"http://130.113.236.17",519365,43593,"MX-3501N",,
8500231800,"GILMOUR HALL",114,"1ST","Y",48795,"http://130.113.236.70",679445,90523,"MX-5500N",,
8501361700,"GILMOUR HALL","ROOM 110","1ST","Y",48826,"http://130.113.198.149",358372,295915,"MX-3501N",,
8504298500,"GILMOUR HALL","Bookstore","BSMT","y",50104,"http://130.113.156.160",361725,9351,"MX-3501N",,
85043695000,"GILMOUR HALL","ROOM 208","2nd","Y",50110,"http://130.113.101.158",122110,106820,"MX-3501N",,
8506317800,"GILMOUR HALL",238,"2nd","Y",50282,"http://130.113.101.177",145774,154343,"MX-4501N",,
8506328800,"GILMOUR HALL",112,"1st","Y",50287,"http://130.113.236.102",459418,28314,"MX-4501N",,
8506339800,"GILMOUR HALL",305,"3rd","Y",50297,"http://130.113.173.84",585091,161319,"MX-4501N",,
8504840900,"Gilmour hall",202,"2nd","Y",54062,"http://130.113.101.126",614156,161181,"MX-3501N",,
9211573300,"GILMOUR HALL","AR-M207","2nd","Y",57294,"http://130.113.101.191",57458,49848,"MX-C311",,
"9211368Y00","GILMOUR HALL",104,"2nd","Y",81670,"http://130.113.198.239",52203,29384,"MX-C311",,
"8211216Y00","Gilmour Hall","120m","1st","Y",75128375,"http://130.113.12.36",9351,2364,"MX-C310",,
5009465,"Gilmour Hall ",205,"2nd","Y",70263,"http://130.113.101.205",32249,,"AR-208D",,
8500232800,"GSB",203,"2ND","Y",48805,"http://130.113.142.23",402804,2754,"MX-5500N",,
8505890600,"HAMILTON HALL",218,"2ND","Y",45538,"http://130.113.205.21",588631,23201,"MX-4501N",,
7503027800,"HAMILTON HALL","103H","1ST","Y",45541,"http://130.113.205.148",62029,37401,"MX-2700N",,
8500875600,"HAMILTON HALL ","Room 103","2nd","Y",44792,"http://130.113.205.61",203998,49206,"MX-3501N",,
83006062,"HGH",237,"2nd","Y",45087,,91678,,"AR-M207",,
8505378600,"HHS","ROOM 1B21","1ST","Y",43848,"http://130.113.19.120",139843,3188,"MX-3501N",,
8505407600,"HHS","ROOM 1B12","1ST","Y",43849,"http://130.113.19.119",147163,1610,"MX-3501N",,
8505124600,"HHS","open","2ND","Y",43852,"http://130.113.19.116",514005,17906,"MX-3501N",,
8506946200,"HHS Library","Circulation Desk","2nd","Y",41963,"http://130.113.19.115",80650,8181,"MX-2700N",,
8505345600,"HHS Library","open access","2nd","Y",43963,"http://130.113.19.118",228850,11640,"MX-3501N",,
9212253900,"HHS Library","2nd floor ","2nd","Y",73902,"http://130.113.19.117",427171,24521,"MX-C311",,
8505850400,"HSC","3N45A","2ND","Y",41278,"http://130.113.154.233",464004,62,"MX-4501N",,
8505893400,"HSC","2HIC","2ND","Y",41281,"http://130.113.154.234",658023,377,"MX-4501N",,
8505840400,"HSC","4E surgery","4TH","Y",41949,"http://130.113.67.130",712354,46176,"MX-4501N",,
